,LVS,THA
2018-10-31,285.32,367.9
2018-11-30,270.73,358.33
2018-12-31,283.71,365.03
2019-01-31,300.34,375.54
2019-02-28,287.34,385.02
2019-03-31,282.46,395.96
2019-04-30,278.1,407.49
2019-05-31,296.66,396.3
2019-06-30,286.61,383.41
2019-07-31,310.9,385.85
2019-08-31,317.39,378.56
2019-09-30,341.46,407.03
2019-10-31,343.76,437.51
2019-11-30,341.87,433.9
2019-12-31,336.87,444.29
2020-01-31,333.3,453.2
2020-02-29,333.38,454.81
2020-03-31,296.07,443.17
2020-04-30,286.48,458.0
2020-05-31,283.54,467.49
2020-06-30,286.67,502.09
2020-07-31,281.42,501.42
2020-08-31,277.7,496.68
2020-09-30,264.98,501.16
